Accession	Species	Description
DQ868866.1	Cyprinus_carpio	isolate_AMV2(AMVRAKIA)_16S_ribosomal_RNA_gene,_partial_sequence;_mitochondrial
AB100736.1	Phoxinus_phoxinus	mitochondrial_gene_for_16S_ribosomal_RNA,_partial_sequence,_haplotype:PP-Anadyr
AB025211.1	Pseudorasbora_parva	mitochondrial_DNA_for_16S_ribosomal_RNA,_isolate:Yangtze
KJ128884.1	Rutilus_rutilus	voucher_NRM:56289_16S_ribosomal_RNA_gene,_partial_sequence;_mitochondrial
AF215479.1	Scardinius_erythrophthalmus	16S_ribosomal_RNA_gene,_partial_sequence;_mitochondrial
